shipment_id,supplier_id,product_id,store_id,shipment_date,quantity
132,78,1534,4,2025-11-27,240
133,145,373,67,2024-07-22,57
134,89,3067,48,2025-07-11,512
135,448,991,24,2024-06-21,494
136,342,4462,4,2025-12-28,147
137,4,1827,3,2024-11-08,447
138,405,78,20,2025-08-13,315
139,105,2862,45,2025-07-19,432
140,363,452,69,2025-03-26,669
141,159,1684,60,2024-07-23,418
142,400,784,87,2025-10-15,459
143,365,2136,91,2024-04-04,697
144,425,1610,13,2024-07-17,849
145,203,2369,68,2024-01-05,921
146,2,4790,94,2025-12-09,265
147,84,4218,73,2024-09-15,663
148,204,664,69,2025-01-02,997
149,160,1444,52,2025-04-19,998
150,382,3581,32,2025-06-24,807
151,34,1514,17,2024-10-24,673
152,438,4286,34,2024-12-18,317
153,111,4017,24,2024-10-07,222
154,208,342,41,2024-11-21,603
155,474,1097,16,2025-01-09,548
156,355,4421,96,2025-04-05,385
157,279,4738,54,2025-04-02,646
158,252,4441,12,2024-09-03,457
159,191,1957,60,2025-06-08,394
160,34,996,9,2025-09-20,63
161,56,349,11,2024-08-30,251
162,305,2989,64,2025-06-18,360
163,295,987,100,2024-07-25,880
164,126,1714,24,2025-04-13,871
165,97,2092,43,2025-09-25,616
166,488,3442,37,2025-06-13,991
167,40,619,95,2024-05-07,792
168,336,1645,29,2024-08-11,221
169,486,3198,3,2025-05-13,765
170,278,2443,19,2024-02-12,361
171,451,652,51,2024-08-22,220
172,71,672,48,2024-01-09,184
173,331,3289,92,2025-05-02,972
174,306,3054,69,2025-02-27,165
175,498,3965,16,2025-04-26,559
176,266,325,29,2024-02-19,786
177,137,3462,62,2024-01-21,321
178,172,2691,59,2025-12-01,906
179,278,4167,33,2024-12-05,312
180,48,826,24,2024-12-26,254
181,44,3212,28,2025-11-06,352
182,71,110,27,2024-07-20,127
183,106,277,36,2024-02-17,659
184,288,2189,38,2024-09-18,875
185,232,3159,30,2024-09-06,652
186,22,3217,86,2025-04-08,98
187,7,3260,88,2025-07-21,206
188,2,1737,93,2024-06-07,223
189,76,2027,79,2024-05-28,957
190,282,430,79,2025-02-01,576
191,194,127,21,2024-07-14,319
192,170,3786,49,2024-09-30,133
193,5,4990,19,2024-02-04,995
194,384,4504,4,2024-01-22,388
195,346,2642,84,2025-06-11,739
196,426,544,59,2024-07-30,217
197,379,2439,48,2024-09-02,529
198,213,4896,16,2024-12-12,365
199,201,3692,41,2025-01-25,439
200,209,4100,61,2024-08-03,760
201,408,2717,15,2025-02-23,673
202,107,3852,74,2025-02-20,319
203,429,2948,54,2024-01-29,724
204,19,4789,1,2025-08-30,742
205,363,4239,72,2024-05-18,531
206,154,3669,90,2024-10-05,888
207,256,4401,25,2025-09-10,974
208,457,3753,95,2024-11-21,395
209,93,4775,85,2025-04-04,670
210,442,899,30,2024-05-27,414
211,79,4519,98,2024-11-11,253
212,366,2498,35,2025-09-13,602
213,74,1988,66,2025-08-09,138
214,446,3136,91,2025-10-09,750
215,4,1424,61,2025-03-25,330
216,17,1993,32,2024-11-19,836
217,353,95,18,2025-11-04,451
218,57,2706,100,2025-08-17,868
219,100,2053,53,2024-04-17,707
220,425,4735,48,2024-08-09,241
221,465,869,100,2024-07-13,846
222,392,710,25,2025-05-22,465
223,481,2869,100,2025-07-17,271
224,263,4494,14,2025-10-18,383
225,315,2115,19,2024-01-10,201
226,397,3807,33,2025-08-25,651
227,245,4870,69,2024-03-18,85
228,491,852,74,2025-11-21,54
229,321,2754,54,2025-12-07,616
230,400,2981,97,2025-03-05,967
231,120,2197,33,2024-01-30,662
232,251,1504,40,2025-11-06,856
233,199,2316,32,2025-01-29,662
234,445,3252,32,2025-04-09,720
235,434,774,22,2024-01-21,734
236,159,3119,74,2024-08-17,862
237,342,1762,82,2024-08-11,492
238,156,1809,71,2024-03-20,81
239,21,3891,87,2024-01-22,651
240,228,3411,12,2024-07-26,450
241,215,4989,23,2024-04-07,441
242,334,461,70,2024-12-04,754
243,363,3394,18,2025-04-12,903
244,72,4960,17,2024-08-12,516
245,347,4462,99,2025-06-29,385
246,93,2630,67,2025-10-26,65
247,391,94,43,2025-10-01,548
248,1,1198,77,2025-10-30,239
249,385,4022,95,2025-06-08,920
250,202,2041,10,2024-11-04,674
251,440,1366,93,2025-06-22,230
252,411,4866,36,2024-05-19,618
253,265,3448,74,2024-08-13,239
254,403,691,29,2025-08-19,789
255,455,4877,4,2024-07-19,751
256,266,4112,71,2024-10-01,865
257,232,4585,63,2024-09-11,97
258,276,2747,25,2024-07-13,521
259,472,1596,52,2024-10-23,120
260,398,553,72,2025-05-15,617
261,446,2567,7,2024-03-04,821
262,21,509,10,2025-05-02,295
263,121,1982,39,2024-08-26,325
264,232,907,60,2024-12-04,867
265,151,1994,37,2024-03-26,673
266,270,4747,91,2024-02-01,652
267,143,3423,70,2025-07-15,671
268,119,4172,94,2024-07-23,155
269,310,1323,79,2024-04-27,282
270,136,1443,61,2025-11-12,614
271,63,244,84,2025-01-22,441
272,151,3950,25,2024-08-14,864
273,469,3378,63,2025-06-28,81
274,488,1456,7,2025-06-12,323
275,160,1086,28,2024-10-19,763
276,458,145,73,2024-04-10,405
277,41,826,52,2024-09-27,781
278,392,2668,89,2025-11-13,960
279,455,1013,2,2025-08-18,679
280,77,3019,80,2025-07-11,413
281,79,1689,21,2025-09-24,873
282,42,1728,27,2024-05-17,313
283,401,920,77,2025-01-14,447
284,118,3716,96,2025-10-10,152
285,9,4892,46,2024-03-22,737
286,438,1977,8,2025-09-07,180
287,14,3990,39,2025-10-01,998
288,54,1411,32,2024-06-09,309
289,275,1245,99,2025-12-05,930
290,416,2838,54,2024-05-29,698
291,76,1697,48,2025-04-01,768
292,291,2850,29,2025-10-17,275
293,88,3432,81,2025-10-10,857
294,236,1141,4,2024-01-03,704
295,374,2731,42,2025-12-02,234
296,367,3184,31,2024-11-21,506
297,81,4336,62,2024-02-13,452
298,189,4510,89,2024-11-21,61
299,8,2040,36,2024-06-13,466
300,253,4054,86,2025-03-30,150
301,29,1583,80,2025-03-08,255
302,461,3418,37,2024-02-14,962
303,226,3964,66,2024-10-09,206
304,486,2917,54,2025-03-22,951
305,339,4962,8,2025-10-07,386
306,396,3043,78,2025-10-21,645
307,312,1856,42,2024-09-18,81
308,150,566,46,2024-06-21,285
309,338,3170,70,2024-11-22,449
310,135,1642,88,2024-06-07,188
311,283,3905,38,2025-11-16,392
312,277,637,25,2025-02-08,845
313,147,276,52,2025-09-19,198
314,485,4689,40,2025-09-24,407
315,268,2640,50,2025-10-10,306
316,109,2379,37,2025-05-22,926
317,163,419,67,2025-10-24,520
318,178,4415,6,2025-06-15,783
319,76,262,43,2025-09-27,516
320,86,1481,45,2025-07-22,638
321,354,2068,48,2024-09-08,119
322,343,3655,52,2024-07-25,487
323,443,4292,62,2024-09-01,295
324,143,2428,77,2025-10-25,912
325,321,4549,39,2024-06-23,94
326,156,3486,63,2025-12-19,619
327,238,1982,32,2024-01-09,323
328,498,4781,55,2025-01-30,56
329,94,3177,72,2025-04-27,453
330,204,3798,46,2024-02-10,423
331,247,2081,40,2025-08-01,579
332,477,3508,71,2025-04-28,560
333,433,4085,18,2025-07-20,98
334,457,1095,73,2024-07-07,694
335,466,1122,26,2025-12-17,806
336,424,3386,5,2024-10-04,872
337,120,1100,97,2025-11-06,992
338,493,2820,56,2025-08-31,993
339,139,618,6,2024-05-14,151
340,136,2499,84,2024-05-04,281
341,366,2914,73,2024-08-23,84
342,443,4449,39,2025-09-14,789
343,456,2972,86,2024-09-21,976
344,368,572,58,2024-06-18,85
345,266,2462,35,2025-05-09,410
346,424,2127,23,2024-06-13,456
347,278,631,75,2024-11-29,562
348,207,2217,54,2024-08-16,748
349,422,1712,44,2024-11-21,683
350,148,4878,46,2024-04-24,580
351,364,4947,44,2025-02-17,823
352,170,2672,11,2024-02-10,768
353,344,2063,74,2025-07-29,987
354,366,2530,64,2025-09-01,420
355,453,1479,49,2025-11-07,251
356,410,3359,39,2025-10-19,922
357,53,1516,76,2024-07-11,216
358,420,4556,11,2024-10-26,401
359,75,4950,66,2025-12-03,151
360,39,968,38,2024-02-01,927
361,98,3109,58,2025-06-05,839
362,374,4388,90,2025-04-05,923
363,36,204,15,2024-05-30,750
364,206,3014,85,2024-04-07,471
365,48,1742,22,2025-02-12,668
366,82,2070,33,2025-12-04,588
367,263,892,90,2025-09-16,952
368,252,1378,54,2024-03-03,69
369,12,3234,5,2024-01-15,764
370,256,4276,11,2024-12-23,138
371,441,2110,64,2024-11-29,567
372,116,1855,38,2025-04-05,294
373,293,245,31,2025-02-28,86
374,407,2495,100,2025-12-30,94
375,88,1231,30,2025-12-06,600
376,380,2281,83,2024-02-29,664
377,350,1712,9,2024-09-19,500
378,32,2277,11,2025-03-27,944
379,453,1753,51,2024-02-04,389
380,23,4541,67,2025-03-10,71
381,219,4409,49,2024-07-13,327
382,223,3413,39,2025-12-31,704
383,496,247,29,2024-04-12,893
384,90,398,6,2025-11-30,554
385,239,4971,59,2025-03-10,570
386,148,307,63,2025-02-20,221
387,271,3996,4,2025-07-24,195
388,230,1209,92,2024-05-12,949
389,122,2299,84,2024-08-07,102
390,8,3143,55,2025-02-15,669
391,302,3438,73,2025-12-12,425
392,101,4126,26,2024-01-03,724
393,98,1052,80,2024-08-18,864
394,279,4440,10,2024-03-12,693
395,478,1129,42,2024-07-28,178
396,69,4898,4,2025-08-11,826
397,148,371,14,2024-10-19,715
398,406,3045,92,2025-02-16,327
399,92,3678,85,2025-06-13,445
400,475,691,11,2025-03-08,761
401,59,2616,72,2025-01-29,950
402,131,2105,52,2025-03-04,862
403,237,4624,46,2025-10-04,133
404,88,4845,7,2024-06-25,965
405,118,739,7,2024-01-13,59
406,251,987,72,2025-02-12,891
407,381,35,55,2024-03-30,463
408,57,4387,84,2024-08-04,295
409,240,3511,7,2025-11-28,641
410,42,3787,74,2025-08-25,333
411,172,83,74,2025-09-07,279
412,107,839,56,2025-08-12,514
413,365,3309,3,2024-07-30,876
414,70,4167,88,2025-03-08,645
415,64,1071,32,2024-12-01,257
416,8,1904,68,2024-11-04,458
417,314,234,51,2025-12-15,648
418,347,326,6,2025-04-21,801
419,426,4804,73,2025-01-20,996
420,333,1335,60,2025-07-28,809
421,128,1120,12,2025-02-24,77
422,211,920,32,2024-07-05,835
423,262,4024,52,2025-08-04,880
424,499,3298,20,2025-09-14,951
425,220,3979,92,2025-03-16,988
426,463,1188,48,2024-08-28,675
427,185,1538,54,2025-11-30,853
428,240,4914,43,2025-01-09,659
429,175,2354,40,2025-12-17,986
430,205,1798,44,2025-04-21,299
431,36,282,15,2025-02-01,400
432,429,689,4,2024-03-01,867
433,458,796,7,2025-04-25,900
434,62,3575,88,2024-10-27,844
435,241,3101,88,2024-05-31,392
436,220,1934,75,2025-08-09,119
437,122,503,24,2025-12-12,369
438,155,1799,59,2024-12-06,718
439,160,2455,61,2024-11-29,276
440,210,3280,62,2025-07-11,330
441,44,4176,67,2025-07-22,950
442,433,488,71,2024-05-22,121
443,390,1497,46,2024-07-28,465
444,272,4758,65,2024-07-24,209
445,192,3257,18,2024-02-10,100
446,105,1038,30,2025-01-09,623
447,151,104,34,2024-10-18,125
448,266,3773,11,2024-03-12,191
449,442,2443,95,2024-10-16,413
450,412,166,73,2024-07-07,979
451,306,499,3,2024-12-28,735
452,500,2528,20,2025-09-14,483
453,239,2817,55,2024-04-24,775
454,307,3111,29,2025-06-06,497
455,141,4637,75,2024-08-02,159
456,380,3022,72,2025-03-14,752
457,40,3851,90,2024-09-21,791
458,99,4462,15,2025-04-15,400
459,275,373,39,2025-04-10,867
460,24,4376,1,2024-01-02,65
461,360,14,91,2025-08-20,57
462,165,3171,46,2025-02-15,704
463,121,737,41,2024-09-29,866
464,347,2211,33,2024-03-04,837
465,160,4570,75,2025-12-26,399
466,169,4142,40,2024-05-29,948
467,259,2442,2,2024-11-07,976
468,363,2813,85,2025-11-21,281
469,17,4956,88,2024-07-28,867
470,366,1199,65,2024-09-09,715
471,186,2726,76,2025-12-28,507
472,347,2593,80,2025-07-30,631
473,122,2078,44,2024-08-14,77
474,205,3521,68,2025-06-11,270
475,210,1658,68,2024-12-25,224
476,366,4726,73,2025-08-05,687
477,89,568,33,2024-10-02,545
478,250,4902,25,2025-02-09,904
479,51,3531,55,2025-09-24,539
480,482,2353,31,2025-03-03,286
481,447,2616,54,2024-11-27,332
482,152,2942,40,2024-06-11,885
483,52,63,16,2024-09-28,627
484,297,1583,90,2025-11-29,192
485,325,2562,24,2025-12-24,972
486,178,54,55,2025-07-20,677
487,169,1738,91,2025-10-24,973
488,185,4014,24,2024-02-29,938
489,400,1663,25,2025-02-06,176
490,130,2712,59,2024-11-10,285
491,174,1953,17,2025-01-10,208
492,73,4009,47,2024-12-12,168
493,105,1775,11,2025-08-03,823
494,342,1380,18,2024-05-07,674
495,159,517,61,2024-04-29,496
496,401,3079,31,2025-07-12,479
497,109,3677,98,2024-03-02,590
498,351,2582,18,2024-11-07,698
499,205,3232,32,2024-01-27,979
500,85,990,64,2025-07-17,694
501,408,2748,67,2024-06-29,714
502,331,4142,78,2024-06-09,887
503,361,3152,45,2025-10-17,337
504,24,3261,76,2024-03-01,907
505,478,4345,1,2024-09-11,658
506,399,4808,32,2024-03-14,319
507,350,2823,15,2025-09-11,318
508,148,918,14,2024-01-17,587
509,178,1241,81,2025-09-08,580
510,467,2452,30,2025-10-19,391
511,114,879,30,2024-01-31,379
512,21,2804,66,2025-12-27,683
513,216,2472,21,2024-02-01,302
514,89,116,91,2025-09-30,179
515,239,1053,10,2024-01-19,314
516,332,3858,85,2024-08-30,216
517,258,3396,55,2025-05-25,419
518,423,412,17,2025-04-24,841
519,201,1967,40,2024-10-03,63
520,406,1932,94,2025-03-15,511
521,363,4175,91,2025-01-03,841
522,258,4527,42,2025-09-08,328
523,483,813,79,2025-09-13,129
524,247,4243,77,2025-11-29,506
525,113,3496,50,2024-04-24,428
526,490,4626,35,2025-05-19,999
527,187,4207,65,2024-01-25,477
528,228,3608,13,2024-05-07,602
529,352,4091,91,2025-10-18,757
530,450,3282,27,2024-12-21,425
531,486,2652,52,2025-04-09,604
532,115,966,42,2025-01-27,481
533,234,186,31,2025-03-09,441
534,88,4389,90,2025-04-24,939
535,262,4611,64,2024-11-25,754
536,338,626,76,2024-07-01,121
537,347,3221,2,2025-03-13,477
538,206,2750,9,2024-10-25,760
539,491,2499,47,2024-10-22,545
540,223,2938,100,2025-01-22,391
541,194,344,11,2024-12-27,404
542,182,1234,3,2024-05-18,412
543,350,441,92,2024-09-08,72
544,417,1688,19,2024-03-23,186
545,307,2519,84,2024-05-17,413
546,323,4936,2,2024-04-18,539
547,291,855,10,2024-10-10,338
548,267,3214,73,2024-04-24,822
549,403,804,60,2024-03-20,900
550,250,4354,16,2025-09-30,843
551,488,331,59,2024-08-21,88
552,263,2381,97,2025-05-17,700
553,359,2681,76,2025-12-13,794
554,413,634,98,2025-05-26,511
555,358,3022,29,2025-06-03,630
556,109,417,19,2025-12-04,278
557,326,3911,76,2024-10-28,575
558,358,4962,18,2025-03-23,679
559,101,4186,49,2024-06-19,225
560,168,1760,79,2024-01-24,190
561,306,4310,60,2024-10-18,69
562,436,2304,31,2025-06-07,612
563,279,2010,5,2025-03-18,930
564,336,1139,78,2025-01-29,162
565,127,3227,49,2025-08-27,509
566,243,2298,44,2025-10-04,831
567,35,3219,53,2024-12-16,524
568,303,2620,3,2025-04-14,531
569,107,212,66,2025-07-01,135
570,115,3231,98,2024-07-07,608
571,269,3787,58,2025-11-22,831
572,468,4938,23,2024-11-04,974
573,320,1128,33,2025-07-06,528
574,227,792,72,2025-03-16,413
575,257,2718,94,2025-07-02,150
576,463,4174,71,2024-01-24,616
577,151,1857,72,2024-09-21,201
578,207,3631,71,2025-12-16,80
579,227,1421,53,2025-11-25,197
580,348,1855,28,2024-01-11,851
581,125,4473,28,2025-09-16,968
582,166,3381,97,2025-01-09,788
583,448,1401,22,2024-01-22,511
584,56,3963,14,2024-06-07,253
585,153,3500,60,2025-04-25,238
586,272,3060,97,2024-09-22,491
587,362,2253,11,2024-04-11,927
588,450,1002,2,2024-02-11,522
589,304,4296,44,2024-01-28,232
590,225,4060,55,2025-07-12,472
591,334,2368,39,2025-08-21,518
592,208,2038,35,2025-12-04,862
593,481,4589,28,2024-08-27,597
594,452,4697,22,2024-06-09,195
595,148,1381,4,2025-07-09,398
596,99,4367,91,2025-01-22,53
597,467,1706,49,2024-02-05,290
598,498,3050,80,2025-01-21,308
599,240,564,30,2025-10-08,915
600,194,4053,19,2025-10-17,892
601,383,2561,78,2025-09-13,394
602,307,2025,48,2024-12-19,967
603,403,2248,3,2025-06-24,398
604,266,449,76,2025-05-20,949
605,48,14,9,2024-03-05,438
606,70,4399,5,2025-04-22,417
607,4,254,93,2025-06-09,245
608,296,3029,28,2024-09-30,405
609,6,1311,60,2025-05-06,682
610,73,58,16,2024-09-20,311
611,292,3430,30,2024-05-13,909
612,386,3909,66,2024-06-16,159
613,86,2763,6,2024-08-13,859
614,72,1532,96,2024-10-03,920
615,429,3878,55,2024-03-09,463
616,417,1733,99,2025-10-19,304
617,302,2949,36,2025-05-05,656
618,294,3525,98,2025-10-12,471
619,460,161,43,2024-12-07,109
620,303,3192,36,2025-12-29,831
621,264,4957,29,2024-07-26,632
622,157,2800,92,2024-07-16,919
623,15,4783,97,2024-05-30,912
624,406,203,89,2025-03-14,443
625,3,137,24,2024-08-04,592
626,71,360,11,2024-07-03,262
627,362,4285,29,2024-10-11,984
628,241,2339,17,2024-01-09,552
629,178,612,63,2024-03-21,212
630,328,4255,43,2024-01-12,178
631,337,4845,95,2025-08-31,452
632,417,1539,93,2024-02-12,514
633,420,4788,50,2025-09-05,666
634,265,4315,45,2025-11-19,107
635,58,886,48,2024-09-19,751
636,107,2724,56,2024-12-18,630
637,441,750,87,2024-07-29,345
638,338,4620,91,2024-08-12,393
639,131,4296,8,2025-10-22,77
640,334,1111,9,2025-03-22,479
641,231,422,84,2024-04-08,967
642,333,2036,90,2024-10-01,80
643,402,1520,19,2025-07-15,672
644,76,4373,36,2024-08-06,99
645,274,2118,85,2024-06-06,963
646,375,1250,6,2024-08-31,784
647,448,1388,18,2025-03-19,555
648,334,4090,71,2024-02-11,343
649,363,2185,12,2024-01-02,715
650,347,4515,39,2025-08-10,308
651,27,3329,47,2024-09-12,959
652,165,1394,37,2025-03-08,81
653,103,2349,59,2024-02-06,370
654,217,117,55,2024-08-23,993
655,436,3180,8,2025-05-18,941
656,202,3434,44,2024-07-21,243
657,192,4109,2,2024-04-10,152
658,354,52,47,2025-06-04,692
659,385,1999,30,2025-10-12,105
660,87,4287,28,2024-01-15,604
661,2,4274,31,2025-04-13,700
662,481,2433,84,2025-11-12,186
663,160,1042,43,2025-08-01,672
664,137,4418,63,2024-01-14,581
665,11,2762,86,2024-03-29,972
666,229,3409,28,2025-04-16,959
667,374,2567,26,2024-03-25,160
668,315,3591,30,2024-02-12,190
669,57,3804,39,2024-12-15,649
670,286,3910,86,2024-08-28,87
671,11,2216,90,2025-03-10,628
672,444,832,71,2024-11-30,873
673,120,2526,4,2025-07-08,374
674,16,3837,75,2025-07-16,633
675,462,2636,12,2025-04-27,209
676,460,3753,62,2025-06-05,563
677,176,1978,39,2024-11-06,246
678,356,1788,18,2024-06-21,750
679,448,1674,76,2025-10-02,430
680,179,1423,43,2025-01-25,59
681,170,870,83,2025-02-24,123
682,133,4214,81,2024-09-05,104
683,381,3968,96,2024-08-02,969
684,312,2773,72,2025-07-22,193
685,460,925,49,2025-05-11,954
686,460,3998,21,2024-05-05,568
687,384,3470,44,2024-10-17,444
688,387,3797,52,2025-12-30,121
689,69,4701,78,2024-08-29,365
690,11,3783,96,2024-02-10,600
691,94,132,72,2025-02-21,907
692,71,1256,86,2024-09-05,316
693,198,2224,93,2024-04-02,88
694,288,2324,85,2024-01-04,877
695,456,1806,62,2025-09-19,68
696,296,961,37,2024-03-29,534
697,289,325,16,2024-03-16,137
698,331,4921,30,2025-10-01,102
699,262,343,35,2025-12-13,939
700,318,3621,79,2024-03-14,394
701,328,1633,83,2025-10-10,389
702,386,209,58,2024-02-02,183
703,128,3224,24,2024-01-23,453
704,122,1682,67,2024-09-01,810
705,434,3832,59,2024-06-06,584
706,32,2974,93,2024-04-13,919
707,303,2281,7,2025-12-13,90
708,205,830,59,2025-02-08,311
709,195,3267,59,2024-04-22,157
710,385,3406,31,2024-07-13,726
711,56,4228,30,2025-06-10,713
712,498,2914,43,2025-01-11,298
713,29,2550,16,2024-09-24,266
714,198,895,20,2024-06-15,631
715,369,184,57,2024-05-18,358
716,260,3428,5,2025-03-05,161
717,216,2884,12,2025-05-08,68
718,161,2505,34,2024-04-01,505
719,267,3874,76,2025-11-03,618
720,147,2382,9,2024-05-13,470
721,244,1142,62,2024-09-07,142
722,337,2036,70,2024-08-05,850
723,144,2932,45,2025-04-13,63
724,352,2641,51,2024-12-28,609
725,261,1867,22,2025-01-05,635
726,372,38,29,2025-09-03,169
727,266,2304,43,2024-10-24,318
728,264,4822,11,2025-09-05,141
729,63,4156,63,2024-09-17,244
730,235,3876,45,2025-03-23,365
731,381,2802,60,2025-01-12,496
732,43,3439,74,2024-10-02,965
733,233,703,45,2024-11-12,996
734,439,1986,69,2024-06-06,913
735,280,2853,23,2025-12-31,198
736,142,456,76,2025-10-17,984
737,172,1280,8,2024-07-21,217
738,177,1947,41,2025-01-30,767
739,468,677,69,2024-10-12,345
740,57,3807,29,2025-06-18,409
741,155,3668,10,2024-01-26,240
742,120,3259,10,2024-10-03,374
743,196,3550,46,2025-05-03,649
744,406,1683,97,2025-08-10,354
745,77,4757,91,2025-09-03,687
746,464,3022,88,2025-01-31,720
747,322,1729,57,2025-04-12,917
748,300,1762,32,2024-11-19,677
749,431,2931,56,2024-08-24,124
750,420,2063,22,2024-10-22,231
751,45,2038,21,2025-02-06,819
752,338,1307,70,2024-12-21,154
753,192,4920,74,2024-08-15,782
754,397,4677,18,2025-09-18,379
755,368,2881,55,2024-06-10,773
756,323,2047,10,2025-01-27,752
757,209,4042,85,2024-06-27,345
758,382,104,23,2025-04-16,365
759,409,2379,37,2025-09-03,540
760,434,1818,38,2024-12-21,163
761,49,443,60,2024-04-25,660
762,392,4402,55,2024-09-29,311
763,456,4767,65,2024-02-05,390
764,457,4460,25,2025-10-06,405
765,403,1966,48,2024-04-17,800
766,499,2144,70,2024-07-17,730
767,292,3643,74,2025-05-04,104
768,83,4544,47,2025-02-19,303
769,38,3372,42,2025-01-23,381
770,355,4005,39,2024-07-01,89
771,337,3997,84,2025-12-09,627
772,445,1297,80,2024-12-28,844
773,290,4444,6,2024-12-10,340
774,293,1925,23,2025-05-17,192
775,261,3937,39,2025-04-30,474
776,336,1212,97,2025-10-28,249
777,308,3731,54,2025-08-16,596
778,332,843,55,2025-07-25,708
779,322,274,77,2025-03-29,439
780,94,4341,85,2024-01-18,752
781,239,4533,8,2025-10-13,547
782,497,4529,82,2024-08-08,359
783,375,2957,63,2025-09-19,361
