order_id,customer_id,store_id,employee_id,order_date,payment_method,order_status
47,350,45,590,2025-06-22,Net Banking,Cancelled
48,848,95,574,2024-07-11,Net Banking,Pending
49,517,55,698,2025-05-04,Debit Card,Pending
50,953,90,965,2025-11-20,Cash,Pending
51,549,25,654,2025-09-02,UPI,Returned
52,353,29,875,2024-02-20,Credit Card,Pending
53,159,49,407,2025-08-02,Debit Card,Cancelled
54,789,1,186,2024-11-05,Cash,Returned
55,717,57,699,2024-12-26,UPI,Cancelled
56,386,67,721,2025-07-15,Net Banking,Returned
57,169,19,895,2025-03-31,Net Banking,Pending
58,826,51,970,2024-10-18,Debit Card,Completed
59,609,27,879,2024-06-23,Cash,Cancelled
60,355,89,187,2025-07-12,Cash,Cancelled
61,132,7,693,2024-11-10,Credit Card,Returned
62,450,4,606,2024-03-12,Credit Card,Returned
63,462,89,352,2025-07-26,Cash,Completed
64,709,56,775,2024-06-18,Cash,Returned
65,654,53,335,2024-10-20,Debit Card,Completed
66,431,44,464,2025-12-11,Debit Card,Returned
67,42,22,288,2025-02-16,Debit Card,Returned
68,499,25,13,2024-06-21,Credit Card,Returned
69,151,7,849,2024-01-07,Cash,Completed
70,372,40,346,2025-01-08,Net Banking,Pending
71,216,5,695,2024-03-12,Net Banking,Pending
72,700,21,179,2025-05-25,Credit Card,Completed
73,389,73,36,2025-08-07,UPI,Pending
74,354,2,426,2024-02-24,Debit Card,Cancelled
75,941,18,893,2024-01-29,Debit Card,Pending
76,869,86,362,2024-02-21,Debit Card,Returned
77,183,71,203,2024-11-16,Net Banking,Pending
78,980,73,629,2024-05-28,UPI,Pending
79,294,37,810,2025-09-12,Net Banking,Cancelled
80,639,28,552,2024-10-10,Cash,Completed
81,809,41,866,2025-08-01,UPI,Pending
82,569,51,215,2025-04-23,UPI,Cancelled
83,72,45,48,2024-06-05,UPI,Returned
84,719,39,537,2025-04-13,Debit Card,Pending
85,770,6,858,2024-07-07,Cash,Completed
86,623,47,709,2025-06-15,Cash,Returned
87,966,32,35,2025-08-06,Net Banking,Cancelled
88,241,97,922,2024-05-14,Credit Card,Cancelled
89,293,15,636,2025-01-06,Credit Card,Returned
90,121,53,769,2024-01-13,Credit Card,Returned
91,905,79,567,2025-04-06,UPI,Completed
92,5,41,152,2024-12-04,Cash,Pending
93,218,61,450,2025-05-05,UPI,Pending
94,394,24,625,2024-12-14,UPI,Returned
95,343,80,667,2024-04-24,Net Banking,Completed
96,119,38,955,2024-10-19,Cash,Completed
97,729,65,35,2024-07-17,Credit Card,Cancelled
98,376,34,251,2025-03-14,Debit Card,Pending
99,935,1,327,2025-10-01,Credit Card,Completed
100,29,98,608,2024-01-21,Cash,Returned
101,222,18,910,2024-05-07,Credit Card,Pending
102,75,29,150,2024-01-22,UPI,Cancelled
103,452,82,750,2024-10-13,Cash,Completed
104,397,41,78,2025-09-01,Cash,Pending
105,207,55,782,2025-05-31,Debit Card,Cancelled
106,652,5,648,2025-02-24,Credit Card,Cancelled
107,388,96,173,2024-08-10,Credit Card,Cancelled
108,768,31,208,2024-09-26,UPI,Cancelled
109,698,73,276,2024-08-09,Net Banking,Pending
110,331,41,955,2025-12-15,Debit Card,Pending
111,887,87,850,2025-07-22,Cash,Completed
112,908,99,998,2025-11-25,UPI,Completed
113,566,4,699,2024-07-09,Cash,Completed
114,967,16,931,2025-01-03,Net Banking,Cancelled
115,125,16,499,2025-03-22,Credit Card,Cancelled
116,686,7,324,2024-03-11,Debit Card,Cancelled
117,427,38,190,2024-11-29,Net Banking,Completed
118,673,10,633,2024-09-10,Net Banking,Cancelled
119,408,50,184,2024-08-12,Net Banking,Returned
120,3,31,596,2024-03-14,Credit Card,Pending
121,452,98,863,2024-12-02,Net Banking,Cancelled
122,815,47,971,2025-08-08,Debit Card,Completed
123,201,68,791,2024-08-20,Credit Card,Cancelled
124,299,13,287,2025-01-31,Net Banking,Pending
125,448,14,941,2025-08-31,Debit Card,Pending
126,147,79,177,2025-06-03,Credit Card,Cancelled
127,17,45,25,2025-07-26,Debit Card,Returned
128,633,63,867,2024-11-25,Credit Card,Completed
129,798,53,265,2024-09-25,Net Banking,Returned
130,695,96,314,2025-06-22,Cash,Cancelled
131,313,38,155,2024-07-07,Cash,Cancelled
132,580,6,727,2025-11-25,Credit Card,Returned
133,880,57,996,2024-05-17,Net Banking,Pending
134,467,38,604,2025-11-05,Credit Card,Pending
135,257,31,769,2025-05-09,Net Banking,Cancelled
136,303,30,234,2025-08-04,Debit Card,Cancelled
137,970,29,924,2025-08-01,UPI,Completed
138,775,34,586,2025-07-24,Credit Card,Cancelled
139,86,73,554,2025-10-11,UPI,Completed
140,430,76,982,2025-08-20,Credit Card,Cancelled
141,417,31,646,2025-05-29,Credit Card,Returned
142,863,75,743,2025-11-15,Net Banking,Completed
143,312,93,641,2024-04-20,Debit Card,Pending
144,939,77,377,2024-03-19,Credit Card,Pending
145,84,93,981,2025-09-06,UPI,Returned
146,845,19,142,2025-03-06,Cash,Completed
147,496,85,973,2025-03-01,Credit Card,Completed
148,657,100,686,2025-07-31,Credit Card,Pending
149,966,16,718,2024-11-06,Debit Card,Cancelled
150,704,95,674,2025-08-01,UPI,Pending
151,87,5,24,2024-03-17,Debit Card,Completed
152,242,72,681,2024-11-25,Credit Card,Cancelled
153,669,57,279,2025-01-07,Net Banking,Cancelled
154,143,14,558,2025-11-16,Cash,Completed
155,904,39,226,2024-07-31,Cash,Pending
156,857,8,501,2024-10-26,Debit Card,Returned
157,610,98,892,2024-07-03,Net Banking,Returned
158,176,79,287,2025-11-05,Cash,Returned
159,488,93,978,2024-10-22,Net Banking,Returned
160,976,51,106,2025-08-28,Credit Card,Pending
161,368,81,44,2024-01-25,Credit Card,Cancelled
162,725,53,340,2024-11-06,Cash,Pending
163,374,28,520,2024-09-11,Cash,Pending
164,970,43,921,2024-07-05,Debit Card,Pending
165,469,11,581,2024-05-19,Debit Card,Cancelled
166,190,49,402,2025-01-30,Net Banking,Returned
167,349,97,772,2025-06-13,Debit Card,Cancelled
168,556,63,231,2025-03-09,UPI,Pending
169,19,42,358,2024-11-19,Cash,Cancelled
170,355,26,881,2024-11-05,Debit Card,Returned
171,181,24,152,2024-02-28,UPI,Cancelled
172,561,48,295,2024-04-16,Debit Card,Completed
173,199,65,201,2024-05-28,Cash,Cancelled
174,578,58,187,2024-09-16,Cash,Completed
175,784,48,570,2025-03-07,Net Banking,Returned
176,799,53,859,2024-12-20,Cash,Returned
177,145,81,24,2025-02-08,Debit Card,Cancelled
178,770,44,267,2024-07-18,Debit Card,Returned
179,641,28,612,2025-03-18,Net Banking,Cancelled
180,182,72,95,2025-03-15,Debit Card,Pending
181,247,49,425,2024-03-22,Net Banking,Pending
182,374,65,915,2024-10-10,Net Banking,Returned
183,852,51,44,2024-08-29,UPI,Completed
184,845,73,878,2025-05-21,Credit Card,Pending
185,683,87,730,2024-05-19,Credit Card,Returned
186,94,89,488,2025-02-05,Credit Card,Returned
187,201,52,487,2025-04-16,Credit Card,Pending
188,803,59,144,2024-11-10,Credit Card,Returned
189,157,44,240,2024-12-20,Cash,Pending
190,545,58,96,2024-01-06,Net Banking,Returned
191,203,27,702,2024-10-20,Cash,Completed
192,419,39,562,2024-10-05,Net Banking,Returned
193,293,14,618,2025-03-19,UPI,Returned
194,484,18,591,2025-10-10,Cash,Returned
195,366,62,272,2024-04-09,Debit Card,Pending
196,333,90,435,2024-05-31,Net Banking,Completed
197,630,85,298,2024-09-10,Cash,Returned
198,850,27,128,2025-09-07,Debit Card,Cancelled
199,999,77,124,2024-07-13,Net Banking,Pending
200,218,12,802,2024-08-06,UPI,Cancelled
201,820,31,275,2025-04-06,UPI,Returned
202,528,6,647,2024-01-14,Cash,Pending
203,957,5,755,2025-06-24,Net Banking,Completed
204,284,6,648,2024-01-31,Credit Card,Completed
205,318,32,34,2025-08-28,Cash,Completed
206,527,19,18,2025-05-22,Cash,Completed
207,129,74,822,2025-12-28,Debit Card,Pending
208,138,69,923,2024-04-16,Debit Card,Completed
209,158,19,864,2024-09-19,Credit Card,Returned
210,846,79,767,2025-02-23,UPI,Returned
211,556,46,78,2025-08-08,Cash,Returned
212,843,55,467,2025-10-22,Credit Card,Cancelled
213,584,17,103,2025-09-28,Debit Card,Cancelled
214,247,14,787,2024-05-09,Net Banking,Pending
215,759,22,60,2025-06-13,UPI,Cancelled
216,394,87,308,2025-03-11,Net Banking,Pending
217,575,100,386,2024-04-08,Net Banking,Returned
218,670,99,964,2024-10-16,Credit Card,Pending
219,355,15,461,2024-03-31,Debit Card,Returned
220,632,28,117,2024-03-23,Net Banking,Pending
221,787,73,89,2025-06-23,Debit Card,Returned
222,120,56,71,2025-08-25,Debit Card,Cancelled
223,560,19,308,2025-03-23,Net Banking,Returned
224,580,26,145,2025-11-16,Cash,Pending
225,278,16,535,2024-10-17,UPI,Pending
226,842,23,194,2024-11-17,UPI,Pending
227,344,31,383,2024-07-10,Cash,Pending
228,103,26,705,2025-02-01,Cash,Pending
229,390,62,753,2024-06-14,Cash,Returned
230,427,67,11,2024-02-14,Credit Card,Cancelled
231,304,84,961,2024-09-17,Net Banking,Pending
232,620,78,879,2024-01-28,Debit Card,Cancelled
233,781,36,1000,2024-01-25,Credit Card,Cancelled
234,374,58,717,2025-02-06,Credit Card,Completed
235,265,54,316,2024-11-07,Net Banking,Cancelled
236,304,29,857,2025-07-16,Credit Card,Returned
237,205,47,848,2024-07-09,Debit Card,Cancelled
238,861,76,998,2024-09-20,Credit Card,Completed
239,580,13,679,2025-12-06,UPI,Pending
240,838,59,738,2024-12-09,Cash,Returned
241,288,22,320,2024-07-28,Credit Card,Cancelled
242,723,35,514,2024-02-25,Debit Card,Completed
243,644,30,407,2024-08-31,UPI,Completed
244,905,13,684,2024-06-18,Debit Card,Cancelled
245,476,59,446,2025-11-01,UPI,Cancelled
246,4,4,989,2025-05-28,Net Banking,Returned
247,999,4,697,2024-07-18,Net Banking,Returned
248,304,62,376,2024-09-08,Credit Card,Returned
249,852,40,924,2024-06-15,Net Banking,Pending
250,171,94,406,2024-01-04,Debit Card,Returned
251,407,62,355,2025-07-27,UPI,Returned
252,171,93,400,2024-08-20,Cash,Pending
253,364,67,203,2024-10-12,Credit Card,Returned
254,435,40,940,2025-01-05,Net Banking,Returned
255,822,25,13,2025-12-22,UPI,Pending
256,558,10,948,2024-11-20,Cash,Completed
257,60,22,943,2025-04-13,UPI,Cancelled
258,245,41,970,2025-02-10,Net Banking,Cancelled
259,107,28,155,2025-09-13,Net Banking,Returned
260,554,57,787,2024-10-08,Debit Card,Pending
261,631,74,253,2024-10-05,Credit Card,Pending
262,157,91,716,2025-05-10,Credit Card,Completed
263,705,17,646,2025-04-09,Cash,Cancelled
264,585,42,986,2024-02-26,Credit Card,Completed
265,536,64,874,2024-06-15,UPI,Cancelled
266,740,63,734,2024-08-18,Cash,Completed
267,5,57,11,2025-10-27,Cash,Pending
268,624,92,29,2024-02-19,Cash,Cancelled
269,763,20,948,2025-06-26,Cash,Returned
270,180,39,965,2024-02-17,Credit Card,Cancelled
271,824,1,746,2025-09-01,UPI,Returned
272,894,6,311,2024-09-14,Credit Card,Pending
273,883,62,889,2024-01-12,Debit Card,Completed
274,813,73,859,2025-12-20,UPI,Completed
275,352,54,789,2025-04-08,UPI,Cancelled
276,776,9,626,2025-09-13,Cash,Pending
277,468,54,151,2025-07-12,UPI,Completed
278,763,38,484,2024-01-28,UPI,Cancelled
279,431,17,952,2024-07-30,UPI,Completed
280,857,37,490,2024-05-09,Debit Card,Cancelled
281,362,22,961,2025-03-15,Debit Card,Pending
282,220,73,265,2024-01-06,UPI,Returned
283,329,39,81,2025-05-16,UPI,Completed
284,852,13,219,2024-03-30,Debit Card,Completed
285,117,63,162,2024-10-29,Net Banking,Cancelled
286,706,57,90,2024-06-08,Net Banking,Completed
287,270,61,678,2024-01-19,Debit Card,Returned
288,796,3,99,2025-03-31,Credit Card,Completed
289,493,8,120,2025-09-05,Cash,Cancelled
290,981,24,210,2025-09-07,Debit Card,Pending
291,792,75,162,2024-12-20,Debit Card,Cancelled
292,862,47,71,2025-08-28,Cash,Pending
293,276,55,461,2025-03-21,UPI,Returned
294,910,34,394,2025-08-17,Cash,Pending
295,637,48,649,2025-11-17,Debit Card,Cancelled
296,133,96,835,2024-07-15,Debit Card,Pending
297,176,59,702,2024-10-06,Credit Card,Completed
298,913,31,696,2025-12-02,Debit Card,Cancelled
299,569,100,70,2025-01-17,Credit Card,Pending
300,968,74,591,2025-07-20,UPI,Returned
301,455,51,634,2025-03-27,UPI,Cancelled
302,602,77,100,2024-03-08,Cash,Completed
303,468,26,714,2024-05-01,UPI,Returned
304,4,49,985,2024-08-09,UPI,Returned
305,826,70,429,2025-12-25,Debit Card,Completed
306,202,38,427,2025-07-15,Net Banking,Cancelled
307,185,65,410,2024-03-24,Debit Card,Returned
308,235,23,117,2024-02-10,Debit Card,Returned
309,16,87,816,2024-09-02,Debit Card,Cancelled
310,219,33,887,2024-10-09,Cash,Pending
311,802,38,798,2024-11-22,UPI,Completed
312,809,30,309,2024-08-09,Net Banking,Pending
313,866,35,973,2024-07-06,Credit Card,Cancelled
314,146,93,264,2025-02-26,Debit Card,Returned
315,53,28,915,2024-11-01,Cash,Cancelled
316,640,31,568,2025-10-01,Debit Card,Returned
317,540,10,867,2024-03-28,Cash,Returned
318,811,95,470,2025-10-19,Cash,Pending
319,960,52,99,2024-11-06,UPI,Pending
320,162,68,609,2025-09-17,Cash,Returned
321,386,67,449,2025-07-29,Debit Card,Cancelled
322,568,40,573,2025-09-01,Debit Card,Returned
323,533,79,96,2024-05-19,UPI,Pending
324,85,51,243,2024-06-10,Cash,Completed
325,150,80,617,2024-12-16,UPI,Returned
326,277,70,232,2025-03-14,Cash,Cancelled
327,380,39,231,2025-10-20,Cash,Cancelled
328,233,36,713,2025-10-04,Credit Card,Cancelled
329,880,86,142,2025-05-02,UPI,Completed
330,548,7,728,2024-03-21,Debit Card,Returned
331,9,91,530,2024-12-14,UPI,Returned
332,92,30,213,2025-02-10,Net Banking,Pending
333,653,11,394,2024-11-10,UPI,Pending
334,889,8,580,2025-11-14,Cash,Pending
335,433,99,185,2025-01-07,Debit Card,Returned
336,876,7,437,2025-06-19,Credit Card,Completed
337,748,40,49,2025-12-23,Credit Card,Pending
338,165,55,49,2025-10-25,Credit Card,Completed
339,578,71,733,2024-10-14,Debit Card,Completed
340,21,42,74,2024-05-26,Credit Card,Returned
341,266,64,863,2024-09-19,Net Banking,Pending
342,867,99,79,2024-01-15,Credit Card,Completed
343,131,75,334,2025-08-28,Cash,Pending
344,598,71,193,2024-11-01,Debit Card,Pending
345,536,28,461,2025-06-22,Debit Card,Pending
346,1000,98,1000,2025-03-20,Credit Card,Cancelled
347,336,66,347,2024-02-13,UPI,Pending
348,251,12,890,2024-03-22,Credit Card,Cancelled
349,908,56,28,2025-11-01,UPI,Pending
350,526,73,370,2025-12-10,UPI,Cancelled
351,311,66,634,2024-01-09,Cash,Cancelled
352,379,71,957,2025-05-09,UPI,Cancelled
353,856,17,635,2024-04-04,Debit Card,Pending
354,187,63,954,2024-01-13,Net Banking,Pending
355,753,64,815,2025-12-11,UPI,Returned
356,13,2,122,2024-11-23,Debit Card,Completed
357,328,43,178,2024-12-28,Cash,Returned
358,969,64,780,2025-01-07,Debit Card,Pending
359,976,54,854,2025-12-21,Debit Card,Returned
360,196,82,24,2025-08-15,Credit Card,Returned
361,756,42,466,2024-06-04,UPI,Cancelled
362,751,61,716,2024-02-13,Debit Card,Pending
363,471,41,171,2025-02-11,Debit Card,Returned
364,350,45,985,2024-05-05,Net Banking,Completed
365,751,91,165,2024-07-22,Credit Card,Cancelled
366,704,30,535,2024-03-12,Net Banking,Returned
367,928,98,72,2024-11-11,Cash,Pending
368,753,37,884,2025-06-26,Credit Card,Cancelled
369,191,57,254,2025-04-07,Debit Card,Completed
370,65,40,623,2025-03-31,Net Banking,Returned
371,322,53,704,2024-03-01,Net Banking,Returned
372,344,93,164,2025-04-24,Debit Card,Completed
373,314,6,329,2025-05-19,Credit Card,Cancelled
374,39,28,12,2024-05-31,UPI,Pending
375,120,40,994,2025-08-21,Cash,Returned
376,863,6,616,2025-11-29,Cash,Cancelled
377,333,91,146,2025-03-22,Net Banking,Pending
378,477,87,666,2025-10-07,Credit Card,Returned
379,948,96,74,2025-07-27,Credit Card,Completed
380,984,30,431,2024-08-23,Credit Card,Pending
381,212,12,363,2025-12-02,Net Banking,Returned
382,662,100,538,2025-10-12,UPI,Pending
383,748,75,248,2025-01-28,UPI,Returned
384,573,66,133,2025-11-11,Net Banking,Returned
385,926,85,641,2025-06-02,Credit Card,Returned
386,828,36,207,2024-12-24,Cash,Returned
387,473,11,972,2024-08-09,UPI,Returned
388,710,38,53,2024-02-17,UPI,Pending
389,911,96,430,2025-07-05,Net Banking,Returned
390,498,99,633,2024-02-11,Net Banking,Returned
391,867,40,209,2025-08-04,UPI,Completed
392,451,52,957,2025-02-24,Cash,Returned
393,806,97,937,2024-04-09,UPI,Completed
394,357,63,948,2025-05-26,Net Banking,Completed
395,523,8,954,2024-03-19,Credit Card,Cancelled
396,14,67,47,2025-09-14,Net Banking,Cancelled
397,798,80,790,2024-12-13,Credit Card,Cancelled
398,287,1,158,2024-05-05,Credit Card,Pending
399,979,49,167,2025-12-18,Cash,Pending
400,929,76,462,2024-02-06,Net Banking,Cancelled
401,667,88,861,2025-09-02,Cash,Completed
402,671,12,967,2024-06-01,Net Banking,Returned
403,225,90,198,2025-05-11,Cash,Pending
404,115,96,737,2025-04-26,UPI,Returned
405,33,35,217,2025-06-22,UPI,Completed
406,848,46,753,2025-03-02,Cash,Completed
407,865,92,707,2024-02-13,UPI,Returned
408,681,23,371,2025-01-21,Credit Card,Cancelled
409,702,6,316,2025-03-22,Debit Card,Pending
410,490,30,155,2025-02-10,UPI,Returned
411,346,93,737,2024-06-30,Debit Card,Returned
412,28,68,930,2024-06-20,Debit Card,Completed
413,63,38,349,2024-05-15,Net Banking,Returned
414,144,75,656,2024-01-30,Net Banking,Pending
415,406,16,187,2024-09-13,Net Banking,Cancelled
416,492,100,733,2025-02-08,Cash,Returned
417,182,66,292,2025-12-02,UPI,Cancelled
418,812,97,972,2025-09-03,Debit Card,Returned
419,383,74,328,2025-05-31,Cash,Completed
420,143,28,332,2024-03-04,Net Banking,Returned
421,218,10,138,2025-07-13,Cash,Cancelled
422,511,25,460,2024-07-25,Debit Card,Pending
423,452,90,398,2025-02-10,Net Banking,Pending
424,190,85,719,2025-06-22,UPI,Pending
425,858,92,338,2025-07-02,Net Banking,Cancelled
426,144,57,978,2025-01-30,UPI,Returned
427,402,3,386,2025-05-19,UPI,Returned
428,241,94,107,2025-08-16,Credit Card,Returned
429,375,37,605,2025-03-23,Credit Card,Cancelled
430,85,31,107,2024-08-08,Cash,Completed
431,338,59,625,2025-08-27,Net Banking,Returned
432,10,96,471,2024-10-26,Debit Card,Completed
433,784,32,160,2024-12-01,Net Banking,Returned
434,342,41,315,2025-04-12,Cash,Cancelled
435,833,89,765,2024-06-21,Cash,Pending
436,130,66,436,2025-10-24,Debit Card,Pending
437,653,79,259,2025-03-11,UPI,Completed
438,586,68,346,2024-01-07,Credit Card,Returned
439,761,36,484,2024-09-29,Net Banking,Returned
440,380,17,459,2024-06-29,Debit Card,Pending
441,490,93,490,2025-12-10,Cash,Completed
442,135,29,667,2025-03-13,Debit Card,Returned
443,702,43,408,2025-03-02,UPI,Pending
444,413,51,294,2024-10-24,Credit Card,Pending
445,16,12,444,2024-11-11,Net Banking,Returned
446,492,73,45,2024-07-14,Credit Card,Returned
447,888,32,823,2024-11-27,Cash,Returned
448,657,76,832,2025-08-15,Credit Card,Cancelled
449,418,31,649,2024-12-15,Net Banking,Cancelled
450,995,98,354,2024-04-21,Debit Card,Pending
451,134,16,452,2024-02-24,Credit Card,Completed
452,468,33,559,2025-03-15,Net Banking,Pending
453,152,70,98,2024-10-16,Credit Card,Pending
454,417,21,238,2024-02-16,UPI,Returned
455,436,7,782,2024-07-31,Cash,Returned
456,882,78,827,2025-05-30,Net Banking,Cancelled
457,35,27,838,2024-12-22,UPI,Returned
458,743,97,84,2024-02-06,Credit Card,Pending
459,883,13,882,2025-10-11,UPI,Returned
460,854,59,875,2024-08-24,Net Banking,Cancelled
461,835,83,297,2024-08-25,Net Banking,Completed
462,36,99,358,2024-09-28,Cash,Cancelled
463,972,6,131,2024-03-31,UPI,Returned
464,826,59,878,2025-10-30,Credit Card,Pending
465,145,82,771,2024-10-05,Credit Card,Pending
466,598,27,378,2025-02-06,Cash,Completed
467,372,7,146,2024-02-13,Debit Card,Pending
468,638,46,681,2025-12-10,Cash,Returned
469,760,31,681,2024-02-16,UPI,Pending
470,959,72,932,2024-12-17,Credit Card,Pending
471,922,61,142,2025-12-11,Net Banking,Returned
472,893,70,513,2025-12-16,UPI,Pending
473,714,64,898,2024-05-19,Credit Card,Returned
474,305,14,502,2025-04-16,Net Banking,Cancelled
475,667,44,486,2024-03-08,Debit Card,Pending
476,218,88,593,2025-04-04,Credit Card,Returned
477,604,3,16,2024-08-22,Credit Card,Completed
478,509,51,665,2025-07-13,Debit Card,Returned
479,626,68,614,2025-09-21,Debit Card,Cancelled
480,572,99,670,2024-08-16,Net Banking,Pending
481,7,17,466,2024-03-09,Credit Card,Cancelled
482,415,14,702,2024-06-17,UPI,Cancelled
483,254,52,585,2025-12-17,UPI,Completed
484,608,99,320,2025-05-17,Debit Card,Returned
485,11,82,23,2024-06-28,Credit Card,Pending
486,701,28,331,2025-09-28,Credit Card,Returned
487,538,24,842,2024-01-20,Net Banking,Returned
488,486,6,222,2024-11-15,Credit Card,Returned
489,414,80,49,2024-04-06,UPI,Returned
490,886,46,514,2025-07-20,Debit Card,Pending
491,487,21,561,2025-04-24,Credit Card,Returned
492,347,25,310,2025-09-22,Debit Card,Cancelled
493,819,67,287,2024-05-01,Cash,Completed
494,827,92,143,2024-02-02,Cash,Completed
495,902,74,831,2025-05-11,Net Banking,Pending
496,935,14,49,2024-09-18,Credit Card,Returned
497,879,38,580,2024-04-05,Debit Card,Completed
498,513,96,574,2025-05-21,UPI,Returned
499,964,20,573,2025-01-24,UPI,Returned
500,780,95,38,2025-10-14,Credit Card,Pending
501,441,3,960,2024-09-05,Net Banking,Cancelled
502,977,14,368,2024-05-14,UPI,Pending
503,684,37,503,2024-01-30,UPI,Returned
504,16,45,884,2024-07-02,UPI,Pending
505,317,43,864,2024-09-11,Net Banking,Returned
506,78,75,647,2024-01-08,Debit Card,Pending
507,176,5,220,2025-11-12,Debit Card,Returned
508,198,11,734,2024-11-06,UPI,Returned
509,283,27,111,2025-08-27,Net Banking,Pending
510,954,38,143,2024-05-12,Cash,Cancelled
511,39,61,901,2025-10-04,Credit Card,Returned
512,282,90,38,2024-05-05,Net Banking,Completed
513,175,68,44,2025-09-23,Net Banking,Cancelled
514,350,94,370,2024-11-30,Credit Card,Cancelled
515,131,26,360,2024-10-25,Credit Card,Cancelled
516,187,74,727,2024-12-27,Net Banking,Pending
517,324,56,207,2024-09-29,Debit Card,Completed
518,595,85,309,2025-12-06,Credit Card,Completed
519,99,20,810,2024-12-08,Net Banking,Cancelled
520,168,99,462,2024-05-05,Credit Card,Returned
521,232,11,670,2024-07-01,UPI,Returned
522,142,57,453,2024-07-13,Debit Card,Completed
523,335,58,171,2024-02-05,UPI,Cancelled
524,837,75,541,2024-12-01,Debit Card,Completed
525,215,90,114,2025-08-30,UPI,Cancelled
526,475,56,522,2024-01-28,Net Banking,Cancelled
527,530,39,172,2025-11-30,UPI,Cancelled
528,503,17,227,2025-01-17,Credit Card,Completed
529,429,35,391,2025-08-02,Debit Card,Completed
530,397,80,417,2024-10-06,Cash,Returned
531,430,20,173,2025-12-23,Debit Card,Cancelled
532,171,49,656,2025-10-16,UPI,Returned
533,95,7,940,2024-10-30,UPI,Completed
534,230,96,105,2025-08-29,Debit Card,Pending
535,246,10,8,2024-02-27,UPI,Completed
536,904,92,683,2024-04-23,Cash,Pending
537,677,45,862,2024-08-26,Debit Card,Returned
538,814,29,633,2024-04-03,Debit Card,Completed
539,266,37,454,2025-07-28,Cash,Completed
540,15,61,291,2024-02-06,Cash,Completed
541,933,89,195,2024-07-23,Cash,Pending
542,96,89,306,2025-10-23,Credit Card,Completed
543,113,75,829,2025-09-15,Net Banking,Returned
544,904,13,720,2025-08-13,Credit Card,Completed
545,598,12,16,2024-06-15,Cash,Pending
546,307,62,570,2025-03-22,Debit Card,Completed
547,164,44,182,2024-06-21,Credit Card,Completed
548,846,59,395,2025-09-27,Debit Card,Cancelled
549,74,13,388,2024-01-25,Debit Card,Cancelled
550,801,27,932,2025-08-20,UPI,Returned
551,154,95,21,2024-06-17,Cash,Completed
552,765,87,119,2024-01-09,Credit Card,Pending
553,277,34,822,2025-09-23,Credit Card,Completed
554,508,38,324,2024-05-15,Net Banking,Pending
555,122,51,76,2024-02-20,Net Banking,Returned
556,945,90,383,2024-01-07,UPI,Pending
557,928,84,296,2025-02-08,UPI,Completed
558,716,48,260,2024-05-13,Credit Card,Cancelled
559,458,56,509,2024-07-14,Credit Card,Pending
560,258,4,683,2025-08-21,Cash,Completed
561,495,20,891,2024-06-06,UPI,Cancelled
562,976,76,744,2025-10-18,Cash,Pending
563,639,5,690,2024-07-06,Debit Card,Pending
564,334,34,868,2025-09-28,Credit Card,Pending
